['1', 'Brian qqweqwe', 'Software Engineer', 'San Jose', 'CA', 95125,'=1+2+3'],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,'q'],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,'=MIN(1;2;3)'],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,'=MAX(4;5;6)'],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,'=AVG(4;5;6)'],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,''],
['2', 'Brian Vaughn', 'Software Engineer', 'San Jose', 'CA', 95125,'']
